Name,Number_of_tweets,Account_age,Number_of_followers,Following_to_follower_ratio,ratio_retweets,ratio_retweeted_originaltweets,ratio_favorite_originaltweets,screen_name,lazy,points,Acronyme_parti,Nom_parti,Nuance_Politique,url_image
Eric Woerth,1662,1602,30588,0.009219302,0.139492754,29.94877193,7.202105262999999,ericwoerth,166,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/698537727034310659/zCctQ8QG_normal.jpg
Clergeau MF,2539,1545,3399,0.29861724,0.118925326,2.535874439,0.751569507,clergeaumf,345,510,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/2328180120/ogcd9ctfv2c2r44fx4h2_normal.jpeg
Michèle Tabarot,983,1458,3066,0.145140248,0.335078534,7.787401575,2.491338583,MTabarot,64,4,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/3169092404/544b255b01fe0e6fc36201a0b5812d37_normal.jpeg
Alain Gest,2112,1491,2500,0.2948,0.182770109,1.797320909,0.5550378570000001,Alain_Gest,172,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/2247132387/ag2012b_normal.jpg
Bernard ROMAN,3211,1443,5331,0.623147627,0.570215545,5.928571429,2.594224924,bernardroman59,284,69,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/666279297850699776/NIyLh_K5_normal.jpg
Eric Ciotti,9091,2308,45480,0.020866315,0.127856702,27.11437677,12.86543909,ECiotti,259,34,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/676787892136615936/q336PDyG_normal.png
Olivier Falorni,154,1437,3013,0.174244939,0.390728477,9.576086957000001,3.630434783,OlivierFalorni,13,0,PRG,Parti Radical de Gauche,Gauche,http://pbs.twimg.com/profile_images/1955375391/OF_normal.jpg
Jean-Louis COSTES,967,2129,1686,0.979833926,0.18295218300000002,2.20610687,0.451653944,jeanlouiscostes,47,16,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/378800000570925071/2f3290b05f851836afab934e767bcbce_normal.jpeg
Michel Françaix,508,2030,2041,0.285154336,0.21956087800000001,1.0946291559999999,0.061381074,michelfrancaix,64,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/1738870525/image_normal.jpg
Jean-Louis BORLOO,1458,1789,188657,0.000620173,0.145017182,22.55868167,6.509646302,JLBorloo,113,0,UDI,Union des Démocrates et Indépendants,Centre,http://pbs.twimg.com/profile_images/378800000712332192/571cc22b44c15abc5dc2e445cb10ba4f_normal.jpeg
Emmanuel Macron,787,863,180104,0.002731755,0.165605096,81.25648855,56.43969466,EmmanuelMacron,49,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/694544131301994496/NJhiiTaa_normal.jpg
Christophe Caresche,4081,1507,4552,0.16234622099999999,0.255625,1.697732997,0.656171285,CCaresche,392,266,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/1758900682/image_normal.jpg
David Douillet,564,2201,15801,0.014682615,0.310283688,6.555269922999999,3.048843188,DDouillet,71,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/2220632683/David_Douillet_-_portrait_profil_normal.jpg
Alain Tourret,292,1435,1127,0.10204081599999999,0.051546392,0.442028986,0.105072464,AlainTourret,23,0,PRG,Parti Radical de Gauche,Gauche,http://pbs.twimg.com/profile_images/378800000640326281/07bffb646a67f7c160034bab2d8af31a_normal.jpeg
Jean-Marc Germain,3036,2319,8431,0.088838809,0.37810122399999996,4.0377659569999995,1.398404255,jmgermain,303,2,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/696607789549023232/aA8BHW3L_normal.jpg
Philippe Nauche,4214,1606,3257,0.996008597,0.534488092,2.641196013,0.46511627899999997,PhilippeNauche,218,6,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/461155610780639232/85wihRrQ_normal.jpeg
Eva Joly,2621,1883,141756,0.036739186,0.282159265,24.9264,4.7888,EvaJoly,452,0,EELV,Europe Ecologie Les Verts,Gauche,http://pbs.twimg.com/profile_images/2045044335/Eva-Joly-2012---affiche-officielle-square2_normal.png
benoithamon,4358,2878,228522,0.0077585530000000005,0.18647223100000002,21.75705568,9.351639968999999,benoithamon,243,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/613358253741838337/hZhrHVBh_normal.jpg
Bourguignon Brigitte,2879,1486,2028,0.130670611,0.8920612809999999,0.883870968,0.651612903,BourguignonBrig,340,77,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/654287830475276292/dPsnr1qE_normal.jpg
CatherineVautrin,1,2290,668,0.0014970060000000002,0.0,0.0,1.0,CaVautrin,0,0,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/665531269359534080/1SwM61Um_normal.jpg
Françoise Dumas,2661,1485,1487,0.47612642899999996,0.645516717,0.749196141,0.41693462,fdumasdeputee,362,52,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/668888669407813632/r7ClEoDF_normal.jpg
Laurent Baumel,1301,1443,6707,0.121962129,0.6458498020000001,6.111607143,2.107142857,laurentbaumel,98,0,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/561499712608825344/q2_QKcMH_normal.jpeg
Jean Claude Mignon,2271,1567,1885,0.8100795759999999,0.452964779,1.360228199,0.6821515890000001,JC_Mignon77,170,3,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/572286129237573632/AJ2im4gG_normal.jpeg
Thierry Repentin,915,2130,6732,0.083481878,0.34835164799999996,3.870151771,0.8650927490000001,trepentin,100,1,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/1794478093/thierry-repentin-7964_normal.jpg
Marylise Lebranchu,1799,2154,29888,0.10934154199999999,0.380659586,12.01173285,4.50631769,mlebranchu,115,27,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/605419748529184769/6TGlJiwr_normal.jpg
Dominique Chauvel,421,1848,1643,0.302495435,0.29710144899999996,1.189003436,0.12371134,deputeeChauvel,58,1,PS,Parti Socialiste,Gauche,http://pbs.twimg.com/profile_images/2345026414/igxb76e17r3zx7dsxy4m_normal.jpeg
J-Sébastien Vialatte,3876,1378,1572,0.142493639,0.609919571,1.8797250859999999,0.22766323,JS_Vialatte,323,5,LR,Les Républicains,Droite,http://pbs.twimg.com/profile_images/2763791875/40ee6778fd66e06e5adde35943753aa6_normal.png
