screen_name	number_tweets
ABachelay-tweets.json	3207
ACanayer-tweets.json	247
agrosskost-tweets.json	294
AKaram973-tweets.json	251
alainchretien-tweets.json	611
alainjuppe-tweets.json	3245
AlainTourret-tweets.json	291
Alain_Gest-tweets.json	2101
al_rousset-tweets.json	3165
AndreChassaigne-tweets.json	982
AndrSaint-tweets.json	340
AnneGrommerch-tweets.json	977
Anne_Hidalgo-tweets.json	3225
AnnickGirardin-tweets.json	1418
annick_leloch-tweets.json	1062
annick_lepetit-tweets.json	3205
ArnaudRichard_-tweets.json	2692
ArnaudRobinet-tweets.json	3161
ArtiguesGilles-tweets.json	3214
ar_leroy-tweets.json	3233
ASantini_UDI-tweets.json	3248
assaf2012-tweets.json	30
aurelifil-tweets.json	1466
AVidalies-tweets.json	2622
axellelemaire-tweets.json	3202
AxelPoniatowski-tweets.json	235
Ayledain-tweets.json	3208
a_leboeuf-tweets.json	1511
A_Suguenot-tweets.json	2052
barbarapompili-tweets.json	3180
bardyserge-tweets.json	412
BasPhilippe-tweets.json	2460
bayrou-tweets.json	2717
BCazeneuve-tweets.json	1267
benoistapparu-tweets.json	3197
benoithamon-tweets.json	3223
BernardAccoyer-tweets.json	2448
bernardreynes-tweets.json	922
bernardroman59-tweets.json	3062
Bernard_Debre-tweets.json	3180
BerraNora-tweets.json	2079
BertrandDelanoe-tweets.json	1226
BertrandPancher-tweets.json	2506
bgerard59-tweets.json	47
blanc_etienne-tweets.json	1067
BLesterlin-tweets.json	52
BNAzerot-tweets.json	318
BourguignonBrig-tweets.json	2872
bretonxavier-tweets.json	1337
BrigitteAllain-tweets.json	1378
bromagnan-tweets.json	1503
BrunoLeMaire-tweets.json	3191
BrunoLeRoux-tweets.json	3048
BuisSabine-tweets.json	3199
B_Perrut-tweets.json	1189
CaroleDelga-tweets.json	2909
CathLEMORTON-tweets.json	425
CaTroallic-tweets.json	1768
CaVautrin-tweets.json	2931
ca_ginesy-tweets.json	2419
CCaresche-tweets.json	3200
CCastaner-tweets.json	3228
ccavard-tweets.json	1405
CdeRoccaSerra-tweets.json	396
Cdganay-tweets.json	718
CecileDuflot-tweets.json	3210
CECKERT56-tweets.json	914
cestrosi-tweets.json	3208
Chabanne_Nat-tweets.json	261
chantalguittet-tweets.json	774
chborgel-tweets.json	2467
chevenement-tweets.json	3214
christianpaul58-tweets.json	3215
christian_kert-tweets.json	2346
christineboutin-tweets.json	3227
Chris_Bouillon-tweets.json	1519
ChTaubira-tweets.json	1771
Ch_Leonard-tweets.json	294
claudebartolone-tweets.json	3234
ClaudeGoasguen-tweets.json	3182
ClaudeGreff-tweets.json	1006
Claudine_Schmid-tweets.json	780
clergeaumf-tweets.json	2531
ClotildeVALTER-tweets.json	3228
ConchitaLacuey-tweets.json	21
corinnelepage-tweets.json	3197
cotteljj-tweets.json	670
cpiresbeaune-tweets.json	945
c_capdevielle-tweets.json	3182
C_deCourson-tweets.json	831
c_erhel_deputee-tweets.json	2449
damienabad-tweets.json	2541
danielvaillant-tweets.json	475
danycohnbendit-tweets.json	131
DaSilvaCarlos91-tweets.json	2896
datirachida-tweets.json	2557
DAUBRESSE_MP-tweets.json	1409
DavidLEFEVREFri-tweets.json	146
DBertinotti-tweets.json	1204
Dbussereau-tweets.json	3201
DDouillet-tweets.json	564
delaverpilliere-tweets.json	688
delphinebatho-tweets.json	2716
Denis_Baupin-tweets.json	3219
DeputeCVautrin-tweets.json	1
deputeeChauvel-tweets.json	414
DeputeMartin-tweets.json	875
deputepinville-tweets.json	1
DeputeTardy-tweets.json	3220
DevedjianP-tweets.json	1246
DFasquelle-tweets.json	3002
Dhoffmanrispal-tweets.json	532
DominiqueDord-tweets.json	870
DominiqueGillot-tweets.json	319
